datetime,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm,timestamp,diff,date,label_dt,label_hr,hour,turn,day,year,month,week,year_week,month_week,nroday,nrohour
2022-12-12 00:00:00,0.01,0.0,0.0,0.0,0.08,0.98,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670803200,1.0,2022-12-11,2022-12-12 00:00,00:00,0,night,Sunday,2022,12,49,2022,12,4,17
2022-12-12 01:00:00,8.84,9.0,31.0,2.45,0.64,0.4,33.66,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670806800,1.0,2022-12-11,2022-12-12 01:00,01:00,1,night,Sunday,2022,12,49,2022,12,4,18
2022-12-12 02:00:00,17.3,17.0,37.0,0.0,0.95,0.0,29.69,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670810400,1.0,2022-12-11,2022-12-12 02:00,02:00,2,night,Sunday,2022,12,49,2022,12,4,19
2022-12-12 03:00:00,11.37,11.0,44.0,0.36,0.97,0.08,33.51,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670814000,1.0,2022-12-11,2022-12-12 03:00,03:00,3,night,Sunday,2022,12,49,2022,12,4,20
2022-12-12 04:00:00,5.65,6.0,30.0,1.15,0.52,0.56,12.26,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670817600,1.0,2022-12-11,2022-12-12 04:00,04:00,4,night,Sunday,2022,12,49,2022,12,4,21
2022-12-12 05:00:00,15.42,16.0,29.0,0.0,0.97,0.0,37.86,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670821200,1.0,2022-12-11,2022-12-12 05:00,05:00,5,night,Sunday,2022,12,49,2022,12,4,22
2022-12-12 06:00:00,10.42,10.0,39.0,1.95,0.77,0.4,17.8,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670824800,1.0,2022-12-11,2022-12-12 06:00,06:00,6,night,Sunday,2022,12,49,2022,12,4,23
2022-12-12 07:00:00,15.35,16.0,46.0,0.0,0.97,0.0,40.97,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670828400,1.0,2022-12-12,2022-12-12 07:00,07:00,7,day,Monday,2022,12,49,2022,12,5,0
2022-12-12 08:00:00,3.36,3.0,27.0,0.0,0.43,0.61,16.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670832000,1.0,2022-12-12,2022-12-12 08:00,08:00,8,day,Monday,2022,12,49,2022,12,5,1
2022-12-12 09:00:00,2.52,3.0,34.0,0.16,0.32,0.81,4.62,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670835600,1.0,2022-12-12,2022-12-12 09:00,09:00,9,day,Monday,2022,12,49,2022,12,5,2
